1,1,6,0,11,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,13,0,0,0,0
2,0,5,4,15,20,20,0,9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1,6,8,9,0,1,3
2,0,4,0,18,31,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,12,0,0,0,0
2,1,8,0,12,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,0,0,0,0
2,0,2,5,15,28,20,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,1,7,7,9,0,0,7
2,2,6,0,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,5,0,0,0,0
2,1,4,1,16,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,0,0,0,0,0,0,6,5,0,0,0,0
2,2,2,3,20,24,19,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,8,8,0,0,0,0
2,2,9,0,16,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,5,0,2,6,0,0,0,0
2,2,2,4,20,24,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,2,8,8,9,0,0,8
2,3,3,5,17,19,20,4,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0,0,1,1,3,9,8,9,0,0,8
2,0,1,6,14,20,20,2,8,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,5,0,0,0,1,7,8,9,0,0,8
2,2,4,6,15,21,20,2,8,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,8,9,9,0,0,9
2,0,0,4,12,18,20,5,8,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,4,0,0,0,1,10,8,9,0,0,9
2,0,1,5,12,19,19,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,0,4,0,0,0,1,9,8,9,0,0,7
2,5,5,5,15,27,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,0,0,3,3,3,5,5,10,0,0,2
2,5,10,0,18,31,4,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,3,3,0,9,9,0,0,0,0
2,1,1,3,16,20,18,7,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,3,1,4,0,0,0,1,9,9,9,2,1,8
2,1,7,0,15,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,3,8,0,0,0,0
2,3,3,3,17,20,16,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,2,0,1,1,1,9,9,12,0,0,5
2,3,2,5,18,19,19,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,4,0,1,0,0,9,9,0,1,1,0
2,3,8,0,14,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,2,7,0,0,0,0
2,3,10,0,14,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,5,0,2,6,0,0,0,0
2,2,9,0,12,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,2,5,0,0,0,0
2,4,4,4,15,25,20,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,11,4,0,0,0,0,2,2,3,3,7,0,0,0
2,4,4,4,15,25,20,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,11,4,0,0,0,0,2,2,3,3,7,0,0,0
2,2,7,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,3,0,0,0,0
2,3,3,1,14,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,1,0,0,2,3,6,0,0,0
2,1,1,5,18,19,19,8,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,4,0,0,0,3,9,9,9,1,1,9
3,2,1,4,14,26,14,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,4,0,4,0,0,0,2,6,4,4,0,2,2
3,4,1,4,19,15,15,0,21,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,3,0,2,0,2,11,3,5,0,3,1
3,4,1,4,19,15,15,0,21,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,3,0,2,0,2,11,3,5,0,3,1
3,4,9,0,9,30,2,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,3,0,0,3,0,1,8,0,0,2,0
3,4,9,0,9,30,2,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,3,0,0,3,0,1,8,0,0,2,0
3,1,5,0,15,30,3,0,19,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,1,0,3,0,0,2,0,3,6,0,0,4,0
3,0,7,0,17,30,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,8,9,0,0,0,0
3,1,8,0,16,30,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,6,4,0,0,0,0
3,0,1,3,14,23,14,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,3,0,4,0,0,0,1,5,3,3,0,1,2
3,5,5,5,15,27,13,0,18,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,2,8,3,0,4,0,3,3,3,5,5,5,0,1,1
3,5,5,5,15,27,13,0,18,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,2,8,3,0,4,0,3,3,3,5,5,5,0,1,1
3,2,9,0,12,23,3,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,2,0,2,4,0,0,0,0
3,6,8,0,12,24,3,0,20,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1,4,0,2,8,0,0,1,0
3,2,7,0,15,27,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,0,0,0,0,0,2,0,2,3,0,0,0,0
3,3,3,1,13,24,11,0,26,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,2,7,5,0,2,0,1,1,0,3,0,0,0,1,0
3,3,3,5,19,21,18,10,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,8,4,0,19,0,1,1,3,5,5,8,2,0,0
3,9,8,0,9,24,0,0,9,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,3,0,1,3,0,2,2,0,0,0,0
3,0,5,0,9,34,2,0,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,13,0,0,2,0
3,0,5,0,13,29,0,7,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,7,0,0,3,0,4,9,0,0,2,0
3,0,5,0,13,29,0,7,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,7,0,0,3,0,4,9,0,0,2,0
3,2,2,3,15,17,12,6,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,0,12,0,0,0,0,3,3,0,2,0,0
3,0,6,0,11,30,5,0,24,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,3,0,0,1,0,1,15,0,0,4,0
3,0,6,0,8,30,5,0,23,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,0,4,12,0,0,2,0
3,0,6,0,8,30,5,0,23,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,0,4,12,0,0,2,0
3,4,4,5,14,34,14,9,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,6,3,0,8,0,2,2,3,4,4,5,1,0,0
3,2,2,3,12,34,19,0,16,7,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,4,0,4,0,0,0,1,3,6,4,0,4,2
3,2,8,0,15,34,4,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,3,0,0,1,0,3,2,0,0,0,0
3,3,1,4,14,15,14,0,18,6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,8,0,1,0,2,3,1,5,0,2,0
3,3,1,4,14,15,14,0,18,6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,8,0,1,0,2,3,1,5,0,2,0
3,1,12,0,9,23,0,0,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0
3,0,4,0,13,38,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,6,0,0,0,0
3,2,5,0,9,38,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,1,0,1,6,0,0,0,0
3,1,3,0,11,39,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,5,0,0,0,0
3,2,5,0,8,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,4,0,0,0,0
3,2,5,0,8,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,4,0,0,0,0
3,3,5,0,11,34,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,1,1,0,1,4,0,0,0,0
3,1,4,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
3,1,4,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
3,3,5,0,14,22,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,7,0,0,0,0
3,3,5,0,14,22,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,7,0,0,0,0
3,1,4,0,12,36,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,2,6,0,0,0,0
3,1,4,0,12,36,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,2,6,0,0,0,0
3,0,1,0,5,31,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,4,0,0,0,0
3,0,1,0,5,31,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,4,0,0,0,0
3,3,3,0,11,36,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,4,0,1,0,0,2,6,0,0,0,0
3,1,3,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0
3,1,3,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0
3,3,4,0,11,33,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,1,0,0,1,6,0,0,0,0
3,3,4,0,11,31,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,4,0,0,0,0
3,3,1,0,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,3,0,0,0,0
3,2,4,0,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,3,0,0,0,0
3,2,4,0,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,3,0,0,0,0
3,0,1,0,7,31,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,4,0,0,0,0
3,3,6,0,12,34,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,2,0,2,5,0,0,0,0
3,3,6,0,12,34,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,2,0,2,5,0,0,0,0
